City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
belyy yar,53.6039,91.3903,67.89,68,0,6.71,RU,1624151623
yellowknife,62.456,-114.3525,57.56,41,9,8.99,CA,1624151623
aykhal,66.0,111.5,73.8,39,95,12.26,RU,1624151623
itigi,-5.7,34.4833,58.53,73,27,8.81,TZ,1624151624
bluff,-46.6,168.3333,49.05,84,25,11.05,NZ,1624151624
pevek,69.7008,170.3133,38.93,88,20,2.39,RU,1624151624
japura,-0.3167,102.35,77.67,81,97,2.08,ID,1624151624
san patricio,28.017,-97.5169,87.67,67,67,12.44,US,1624151625
maryville,35.7565,-83.9705,77.81,79,100,1.01,US,1624151393
aswan,24.0934,32.907,81.19,18,0,9.8,EG,1624151625
mount isa,-20.7333,139.5,64.17,34,5,13.8,AU,1624151625
cidreira,-30.1811,-50.2056,59.09,95,100,12.91,BR,1624151626
upernavik,72.7868,-56.1549,36.97,72,40,9.28,GL,1624151436
castro,-24.7911,-50.0119,54.82,96,96,6.22,BR,1624151626
mar del plata,-38.0023,-57.5575,43.88,65,0,5.01,AR,1624151626
hermanus,-34.4187,19.2345,67.89,45,46,8.16,ZA,1624151627
mataura,-46.1927,168.8643,49.53,82,34,3.83,NZ,1624151627
mbandaka,0.0487,18.2603,71.17,86,86,0.58,CD,1624151627
chokurdakh,70.6333,147.9167,67.71,34,2,10.78,RU,1624151628
khatanga,71.9667,102.5,77.47,39,6,9.04,RU,1624151628
buala,-8.145,159.5921,85.1,64,11,4.14,SB,1624151628
bambous virieux,-20.3428,57.7575,71.76,65,56,19.66,MU,1624151629
pedernales,18.0384,-71.744,82.53,67,100,10.02,DO,1624151629
dongsheng,39.8161,109.9776,70.52,18,100,5.28,CN,1624151629
aklavik,68.2191,-135.0107,78.8,25,52,10.04,CA,1624151630
ko samui,9.5357,99.9357,83.01,76,94,12.93,TH,1624151578
port alfred,-33.5906,26.891,66.15,41,6,10.29,ZA,1624151630
kruisfontein,-34.0033,24.7314,60.49,30,41,9.64,ZA,1624151630
eresos,39.1667,25.9333,70.83,80,11,7.9,GR,1624151631
ponta do sol,32.6667,-17.1,66.7,75,8,5.1,PT,1624151631
vaini,-21.2,-175.2,78.96,83,20,9.22,TO,1624151631
hobart,-42.8794,147.3294,48.25,82,75,1.99,AU,1624151587
ambah,26.7075,78.2261,86.22,56,12,4.36,IN,1624151632
paraiba do sul,-22.1619,-43.2928,54.68,97,13,4.83,BR,1624151632
albany,42.6001,-73.9662,76.64,66,100,6.96,US,1624151488
igarka,67.4667,86.5833,44.51,84,100,4.92,RU,1624151632
tiksi,71.6872,128.8694,55.72,60,34,2.19,RU,1624151632
eregli,37.5133,34.0467,62.89,46,0,1.21,TR,1624151633
valparaiso,-33.0393,-71.6273,55.47,75,0,6.91,CL,1624151375
meulaboh,4.1363,96.1285,77.49,86,97,4.0,ID,1624151633
guerrero negro,27.9769,-114.0611,67.64,74,0,20.22,MX,1624151634
praia,14.9215,-23.5087,72.14,78,20,11.5,CV,1624151634
labuhan,-6.8844,112.2051,80.24,78,31,6.6,ID,1624151634
flin flon,54.7682,-101.865,59.63,63,100,9.01,CA,1624151635
ciudad bolivar,8.1222,-63.5497,80.83,72,89,10.11,VE,1624151635
butaritari,3.0707,172.7902,82.06,70,11,1.72,KI,1624151635
iqaluit,63.7506,-68.5145,36.7,74,100,3.0,CA,1624151636
reconquista,-29.15,-59.65,48.06,82,9,4.25,AR,1624151636
victoria,22.2855,114.1577,90.32,80,100,1.99,HK,1624151497
tessalit,20.1986,1.0114,90.45,7,0,8.63,ML,1624151636
lakki marwat,32.6079,70.9114,92.17,27,0,2.06,PK,1624151636
burgersdorp,-30.9977,26.3286,43.66,76,0,3.8,ZA,1624151637
avarua,-21.2078,-159.775,77.05,69,40,13.8,CK,1624151637
klyuchi,52.2667,79.1667,50.22,66,100,6.87,RU,1624151638
wonthaggi,-38.6044,145.5913,55.71,71,6,4.21,AU,1624151639
kalat,29.0225,66.5916,65.53,36,0,6.71,PK,1624151639
constitucion,-35.3333,-72.4167,51.6,73,98,5.32,CL,1624151640
hamilton,39.1834,-84.5333,79.2,84,100,6.91,US,1624151561
preobrazheniye,42.9019,133.9064,52.5,91,100,11.43,RU,1624151640
abensberg,48.8167,11.85,70.05,83,96,3.67,DE,1624151641
honiara,-9.4333,159.95,85.39,65,77,3.49,SB,1624151522
dikson,73.5069,80.5464,32.92,79,97,7.92,RU,1624151641
kendari,-3.945,122.4989,78.76,86,100,1.14,ID,1624151641
amahai,-3.3333,128.9167,78.31,87,100,3.31,ID,1624151642
kapaa,22.0752,-159.319,84.18,75,11,4.0,US,1624151642
manggar,-2.8833,108.2667,82.0,73,91,3.71,ID,1624151642
oriximina,-1.7656,-55.8661,76.71,83,10,3.33,BR,1624151643
kidal,18.4411,1.4078,91.89,26,18,8.59,ML,1624151643
east london,-33.0153,27.9116,64.92,39,5,5.82,ZA,1624151643
yumen,40.2833,97.2,74.95,22,100,10.42,CN,1624151644
bengkulu,-3.8004,102.2655,77.99,76,87,4.27,ID,1624151644
port lincoln,-34.7333,135.8667,54.73,54,1,6.15,AU,1624151644
meiktila,20.8667,95.8667,78.17,77,58,17.54,MM,1624151645
cabo san lucas,22.8909,-109.9124,98.51,72,5,17.27,MX,1624151430
smithers,54.7804,-127.1743,73.4,28,3,2.89,CA,1624151553
tuni,17.35,82.55,81.75,78,100,10.22,IN,1624151646
souris,49.6172,-100.2612,66.06,87,100,6.62,CA,1624151646
koror,7.3398,134.4733,84.52,74,75,8.05,PW,1624151647
dingle,10.9995,122.6711,83.66,74,100,9.08,PH,1624151647
iquique,-20.2208,-70.1431,60.84,83,95,2.46,CL,1624151647
sobolevo,54.4299,31.8996,62.91,94,0,5.17,RU,1624151647
katsuura,35.1333,140.3,78.19,94,100,16.55,JP,1624151648
thompson,55.7435,-97.8558,51.96,87,90,12.66,CA,1624151648
naryan-mar,67.6713,53.087,42.24,73,100,14.43,RU,1624151648
ancud,-41.8697,-73.8203,47.23,84,100,6.15,CL,1624151649
port hardy,50.6996,-127.4199,56.05,89,100,3.65,CA,1624151649
lata,40.1629,-8.3327,58.05,91,91,4.5,PT,1624151649
pedro carbo,-1.8333,-80.2333,78.28,83,75,3.44,EC,1624151650
farafangana,-22.8167,47.8333,67.6,85,55,4.79,MG,1624151650
la reforma,25.0833,-108.05,91.15,62,78,9.22,MX,1624151650
tuktoyaktuk,69.4541,-133.0374,59.4,40,16,6.46,CA,1624151651
carnarvon,-24.8667,113.6333,57.27,41,1,4.61,AU,1624151651
cape town,-33.9258,18.4232,68.11,44,5,1.99,ZA,1624151651
husavik,66.0449,-17.3389,41.88,82,97,5.91,IS,1624151651
gao,16.6362,1.637,91.92,27,100,6.91,ML,1624151652
nova prata,-28.7839,-51.61,52.65,100,100,1.48,BR,1624151652
nakhon phanom,17.3333,104.4167,84.79,61,23,4.97,TH,1624151652
dembi dolo,8.5333,34.8,56.61,97,100,4.29,ET,1624151653
taldan,53.6667,124.8,66.92,67,83,4.65,RU,1624151653
puerto ayora,-0.7393,-90.3518,73.54,89,66,7.0,EC,1624151653
aktau,43.65,51.2,75.78,30,0,19.86,KZ,1624151654
touros,-5.1989,-35.4608,72.5,83,2,12.55,BR,1624151654
san jeronimo,-11.9472,-75.2829,47.89,80,30,3.4,PE,1624151654
la concordia,13.1953,-86.1667,69.98,91,100,3.62,NI,1624151655
sao sebastiao,-23.76,-45.4097,67.86,90,100,2.13,BR,1624151655
ambanja,-13.6833,48.45,69.26,86,18,3.8,MG,1624151656
zhanaozen,43.3,52.8,72.97,22,0,17.81,KZ,1624151656
sal rei,16.1833,-22.9167,70.36,85,8,17.31,CV,1624151656
kautokeino,69.0125,23.0412,46.74,79,100,8.1,NO,1624151656
saint-francois,46.4154,3.9054,65.17,100,100,4.61,FR,1624151657
cherskiy,68.75,161.3,54.91,59,98,13.06,RU,1624151657
kaeo,-35.1,173.7833,64.33,82,23,15.41,NZ,1624151657
bremervorde,53.4833,9.1333,67.39,97,99,8.95,DE,1624151658
arraial do cabo,-22.9661,-42.0278,71.08,79,7,29.97,BR,1624151658
hilo,19.7297,-155.09,84.27,81,37,4.0,US,1624151658
airai,-8.9266,125.4092,66.94,70,74,4.41,TL,1624151659
codrington,-38.2667,141.9667,51.22,82,100,4.18,AU,1624151659
sesheke,-17.4759,24.2968,52.77,61,5,6.67,ZM,1624151659
klaksvik,62.2266,-6.589,47.32,88,100,13.98,FO,1624151660
saint-augustin,51.226,-58.6502,52.93,81,100,7.16,CA,1624151660
genhe,50.7833,121.5167,57.11,82,100,9.24,CN,1624151660
wajima,37.4,136.9,65.93,82,100,9.6,JP,1624151661
kota kinabalu,5.9749,116.0724,82.38,78,20,2.3,MY,1624151661
komsomolskiy,40.4272,71.7189,69.22,38,6,1.25,UZ,1624151661
akhaldaba,41.654,42.1516,57.76,59,3,6.06,GE,1624151662
san andres,12.5847,-81.7006,84.22,84,40,12.66,CO,1624151662
fairbanks,64.8378,-147.7164,71.02,64,40,3.0,US,1624151444
makakilo city,21.3469,-158.0858,80.92,73,90,5.75,US,1624151662
north bend,43.4065,-124.2243,87.94,77,5,3.0,US,1624151613
beni,0.5,29.4667,61.09,94,99,2.26,CD,1624151663
hibbing,47.4272,-92.9377,64.44,61,13,4.32,US,1624151663
samarai,-10.6167,150.6667,80.06,73,100,15.7,PG,1624151663
nishihara,26.1842,127.7558,83.86,84,75,9.22,JP,1624151664
beringovskiy,63.05,179.3167,42.15,88,61,8.75,RU,1624151664
goderich,43.7501,-81.7165,65.91,75,0,5.73,CA,1624151487
saint-alexandre,44.2278,4.6214,72.27,79,100,2.24,FR,1624151665
nikolskoye,59.7035,30.7861,69.69,77,0,5.28,RU,1624151665
progreso,21.2833,-89.6667,80.15,86,100,8.68,MX,1624151665
tasiilaq,65.6145,-37.6368,39.36,66,42,5.28,GL,1624151665
imeni poliny osipenko,52.4201,136.4853,68.18,47,93,1.01,RU,1624151666
faanui,-16.4833,-151.75,80.8,76,18,13.82,PF,1624151666
lompoc,34.6391,-120.4579,87.94,84,90,5.01,US,1624151666
bam,29.106,58.357,79.32,10,0,18.63,IR,1624151667
nakusp,50.2499,-117.8023,71.76,52,57,3.4,CA,1624151667
natal,-5.795,-35.2094,72.25,94,40,3.44,BR,1624151373
montepuez,-13.1256,38.9997,61.03,84,74,8.59,MZ,1624151667
pisco,-13.7,-76.2167,64.45,82,90,14.97,PE,1624151668
acapulco,16.8634,-99.8901,76.82,100,90,4.61,MX,1624151668
pacific grove,36.6177,-121.9166,86.45,84,33,5.99,US,1624151649
evensk,61.95,159.2333,51.73,68,84,5.95,RU,1624151668
hasaki,35.7333,140.8333,71.89,96,100,16.04,JP,1624151669
krasnyy kholm,58.0607,37.1203,60.75,90,7,6.35,RU,1624151669
cardinal,44.7834,-75.3826,74.21,73,1,0.0,CA,1624151669
vila velha,-20.3297,-40.2925,66.15,100,75,3.44,BR,1624151670
hambantota,6.1241,81.1185,79.12,79,62,12.82,LK,1624151670
bardsir,29.9227,56.5743,61.88,16,0,6.04,IR,1624151670
bredasdorp,-34.5322,20.0403,58.68,38,34,6.38,ZA,1624151671
lake saint louis,38.7976,-90.7857,79.29,61,99,5.53,US,1624151549
waipawa,-41.4122,175.5153,51.03,96,100,16.53,NZ,1624151671
prachin buri,14.0833,101.6667,82.87,73,18,4.07,TH,1624151671
baruun-urt,46.6806,113.2792,61.77,54,10,11.61,MN,1624151672
saskylakh,71.9167,114.0833,83.25,27,29,13.22,RU,1624151672
lira,2.235,32.9097,63.05,94,99,3.13,UG,1624151672
kavieng,-2.5744,150.7967,82.15,74,32,4.12,PG,1624151672
campbell river,50.0163,-125.2446,65.59,66,4,3.94,CA,1624151673
noumea,-22.2763,166.4572,77.0,99,100,15.41,NC,1624151673
lima,-12.0432,-77.0282,63.9,85,90,8.05,PE,1624151658
minab,27.1467,57.0801,90.75,34,0,7.61,IR,1624151673
jose de freitas,-4.7564,-42.5756,76.15,50,100,4.45,BR,1624151674
boralday,43.3578,76.8594,55.26,71,75,6.71,KZ,1624151674
opuwo,-18.0607,13.84,58.32,35,0,7.56,NA,1624151674
iwanai,42.9744,140.5089,63.03,78,98,4.68,JP,1624151675
viseu,40.661,-7.9097,54.86,95,100,4.97,PT,1624151675
sao joao da barra,-21.6403,-41.0511,71.13,75,8,19.42,BR,1624151675
jupiter,26.9342,-80.0942,83.07,85,100,5.99,US,1624151676
lebu,-37.6167,-73.65,48.09,78,92,4.94,CL,1624151676
huarmey,-10.0681,-78.1522,66.6,86,45,9.8,PE,1624151676
haverfordwest,51.8017,-4.9691,60.55,96,98,8.25,GB,1624151677
savannakhet,16.566,104.751,83.62,69,82,11.12,LA,1624151677
severo-kurilsk,50.6789,156.125,44.6,85,100,3.83,RU,1624151677
korla,41.7597,86.1469,76.08,26,0,6.4,CN,1624151677
cairns,-16.9167,145.7667,76.95,56,100,10.36,AU,1624151678
bida,9.0833,6.0167,75.15,91,100,1.66,NG,1624151678
turkistan,43.0,68.0,65.05,23,7,20.51,KZ,1624151678
salmon creek,45.7107,-122.649,84.09,51,0,1.99,US,1624151383
bethel,41.3712,-73.414,71.85,93,100,1.99,US,1624151679
birin,26.8865,88.0718,63.55,98,99,4.23,NP,1624151679
luang prabang,19.8856,102.1347,82.96,66,11,2.98,LA,1624151679
mgandu,-5.95,34.1333,54.75,84,41,8.41,TZ,1624151680
shangzhi,45.2167,127.9667,63.81,78,69,9.89,CN,1624151680
kununurra,-15.7667,128.7333,71.58,24,7,12.66,AU,1624151428
bristol,41.8334,-71.1662,78.49,78,100,1.01,US,1624151622
jiuquan,39.7432,98.5174,73.94,26,100,5.12,CN,1624151681
challans,46.8436,-1.8749,60.71,79,100,7.56,FR,1624151681
basarabi,44.0053,23.0055,63.48,94,100,4.41,RO,1624151681
bawku,11.0616,-0.2417,83.32,57,100,2.8,GH,1624151682
bagdarin,54.4333,113.6,53.01,93,100,1.68,RU,1624151682
gat,31.61,34.7642,68.68,78,0,1.97,IL,1624151682
kavaratti,10.5669,72.642,82.85,75,100,21.25,IN,1624151682
belmonte,-15.8631,-38.8828,70.3,83,79,10.8,BR,1624151683
bilma,18.6853,12.9164,89.62,16,14,3.67,NE,1624151683
luderitz,-26.6481,15.1594,69.8,33,5,8.21,NA,1624151683
le marin,14.4721,-60.8697,81.72,89,75,8.05,MQ,1624151684
sao joao do paraiso,-15.3136,-42.0144,59.94,96,90,8.1,BR,1624151684
atuona,-9.8,-139.0333,79.74,76,16,21.61,PF,1624151684
mujiayingzi,42.1167,118.7833,73.38,32,4,18.72,CN,1624151684
kopavogur,64.1123,-21.913,42.66,81,50,8.01,IS,1624151685
ribeira grande,38.5167,-28.7,67.98,93,80,9.6,PT,1624151685
nago,26.5881,127.9761,84.63,86,100,4.5,JP,1624151685
saint-philippe,-21.3585,55.7679,68.22,74,92,12.5,RE,1624151686
geraldton,-28.7667,114.6,55.13,71,70,13.8,AU,1624151686
chernyshevskiy,63.0128,112.4714,73.87,46,86,3.53,RU,1624151686
bonthe,7.5264,-12.505,78.12,86,100,7.78,SL,1624151687
zelenoborsk,61.4669,64.0333,43.84,69,100,19.1,RU,1624151687
bonavista,48.6499,-53.1147,51.3,85,45,13.44,CA,1624151687
ocean city,39.2776,-74.5746,75.97,90,99,12.53,US,1624151401
sao jose da coroa grande,-8.8978,-35.1478,75.07,87,84,9.69,BR,1624151688
kaitangata,-46.2817,169.8464,50.11,88,100,9.08,NZ,1624151688
shellbrook,53.2168,-106.4011,66.4,54,4,5.68,CA,1624151688
pinas,-3.6667,-79.65,65.75,93,54,2.42,EC,1624151688
te anau,-45.4167,167.7167,43.34,66,6,2.17,NZ,1624151689
provideniya,64.3833,-173.3,58.51,46,20,4.47,RU,1624151689
bathsheba,13.2167,-59.5167,81.21,74,40,13.8,BB,1624151689
mahebourg,-20.4081,57.7,71.74,64,43,19.73,MU,1624151690
manado,1.487,124.8455,86.77,70,40,1.14,ID,1624151690
leh,34.1667,77.5833,50.38,53,30,4.79,IN,1624151690
sanghar,26.0466,68.9481,82.47,66,90,19.86,PK,1624151691
krasnoshchekovo,51.6708,82.7289,47.32,95,100,6.17,RU,1624151691
halifax,44.6453,-63.5724,62.42,91,100,8.01,CA,1624151496
quelimane,-17.8786,36.8883,65.79,95,91,3.11,MZ,1624151691
nanchang,28.6833,115.8833,73.44,91,100,2.48,CN,1624151692
karasjok,69.4719,25.5112,48.31,75,100,9.89,NO,1624151692
marawi,7.9986,124.2928,75.65,68,100,1.74,PH,1624151693
cayenne,4.9333,-52.3333,82.09,82,75,3.0,GF,1624151693
mayor pablo lagerenza,-19.9309,-60.7718,53.17,67,100,1.45,PY,1624151693
spassk-ryazanskiy,54.4072,40.3806,59.77,89,0,2.75,RU,1624151694
marion,39.7684,-86.1555,79.57,77,7,7.54,US,1624151459
westport,41.1415,-73.3579,72.09,94,100,13.0,US,1624151694
sola,-13.8833,167.55,79.95,79,100,10.63,VU,1624151694
laguna,38.421,-121.4238,108.43,18,0,5.99,US,1624151566
luis correia,-2.8792,-41.6669,77.04,88,22,8.52,BR,1624151695
clyde river,70.4692,-68.5914,34.03,100,90,3.44,CA,1624151695
lagoa vermelha,-28.2086,-51.5258,50.81,98,100,4.94,BR,1624151696
namatanai,-3.6667,152.4333,84.47,65,72,3.29,PG,1624151696
lamu,-2.2717,40.902,76.21,80,100,17.63,KE,1624151696
itarema,-2.9248,-39.9167,76.95,84,9,11.65,BR,1624151697
moranbah,-22.0016,148.0466,63.57,38,0,10.78,AU,1624151697
estelle,29.8458,-90.1067,84.99,73,1,6.91,US,1624151697
eyl,7.9803,49.8164,78.71,64,100,25.81,SO,1624151698
ulaangom,49.9811,92.0667,72.45,33,99,1.72,MN,1624151698
alofi,-19.0595,-169.9187,75.99,72,57,15.39,NU,1624151698
tuim,54.3417,89.9261,60.15,91,100,1.3,RU,1624151698
berlevag,70.8578,29.0864,44.94,84,92,4.41,NO,1624151699
simbahan,6.3032,120.5836,82.31,73,100,3.31,PH,1624151699
lagoa,39.05,-27.9833,66.51,93,100,14.99,PT,1624151699
tazovskiy,67.4667,78.7,44.08,65,8,7.47,RU,1624151700
souillac,-20.5167,57.5167,71.01,66,7,18.95,MU,1624151700
shalinskoye,55.7228,93.7594,69.04,69,78,3.47,RU,1624151700
reading,51.4562,-0.9711,57.31,94,100,3.0,GB,1624151436
mareeba,-17.0,145.4333,72.32,63,100,3.78,AU,1624151701
olinda,-8.0089,-34.8553,69.53,88,75,6.91,BR,1624151641
ilinskiy,55.619,38.1182,64.98,88,0,2.24,RU,1624151701
nome,64.5011,-165.4064,68.16,46,34,10.83,US,1624151703
ozernovskiy,51.5,156.5167,43.32,92,83,6.06,RU,1624151703
kieta,-6.2167,155.6333,84.15,65,3,3.44,PG,1624151703
humberto de campos,-2.5983,-43.4611,74.3,92,33,4.56,BR,1624151704
liuhe,42.2401,125.7172,65.19,76,5,5.3,CN,1624151704
lampazos de naranjo,27.0167,-100.5167,92.19,37,99,13.33,MX,1624151704
sitka,57.0531,-135.33,64.13,56,20,4.56,US,1624151578
sorland,67.667,12.6934,47.19,82,100,13.91,NO,1624151705
coquimbo,-29.9533,-71.3436,55.13,94,90,8.05,CL,1624151460
saint george,37.1041,-113.5841,108.63,11,1,1.01,US,1624151705
boende,-0.2167,20.8667,72.27,83,26,2.01,CD,1624151706
awjilah,29.1081,21.2869,73.02,48,0,12.19,LY,1624151706
manokwari,-0.8667,134.0833,81.86,69,14,2.46,ID,1624151706
kamenka,51.3223,42.7678,56.53,79,0,7.0,RU,1624151706
kalispell,48.1958,-114.3129,73.44,41,90,3.0,US,1624151707
the valley,18.217,-63.0578,82.09,84,5,21.18,AI,1624151707
puerto escondido,15.85,-97.0667,81.64,82,93,4.65,MX,1624151707
ust-tsilma,65.441,52.1498,41.61,71,8,7.9,RU,1624151708
humble,29.9988,-95.2622,89.87,66,100,3.0,US,1624151708
ippy,6.2679,21.2247,70.59,88,100,2.8,CF,1624151709
la oroya,-11.5189,-75.8994,42.48,90,20,4.25,PE,1624151709
marinette,45.1,-87.6307,70.3,77,74,5.59,US,1624151709
sindor,62.8629,51.8905,47.98,66,23,7.11,RU,1624151710
agadez,19.75,10.25,87.58,10,99,8.93,NE,1624151710
kloulklubed,7.0419,134.2556,84.7,73,33,7.94,PW,1624151710
vic,41.9301,2.2549,71.65,85,100,5.32,ES,1624151711
leningradskiy,69.3833,178.4167,45.72,78,47,6.15,RU,1624151711
portland,45.5234,-122.6762,84.97,47,0,1.99,US,1624151231
araouane,18.9048,-3.5265,91.69,28,17,11.52,ML,1624151712
flinders,-34.5833,150.8552,59.81,78,75,10.0,AU,1624151712
warmbad,-28.45,18.7333,62.83,34,4,13.15,NA,1624151712
daura,11.5538,11.4085,80.96,56,100,9.33,NG,1624151712
morehead,37.2711,-87.1764,80.83,81,100,10.78,US,1624151713
beian,63.6559,9.5683,54.55,93,40,2.3,NO,1624151713
grand gaube,-20.0064,57.6608,72.0,65,7,20.24,MU,1624151713
anloga,5.7947,0.8973,80.08,81,100,12.59,GH,1624151714
singleton,-32.5667,151.1833,58.69,79,100,6.69,AU,1624151537
mathathane,-22.2687,28.7495,57.31,72,99,4.97,BW,1624151714
kodiak,57.79,-152.4072,47.84,98,100,8.84,US,1624151714
gavle,60.6745,17.1417,49.95,97,80,3.0,SE,1624151715
el rusio,14.4667,-86.3667,75.54,72,97,2.39,HN,1624151715
sayyan,15.1718,44.3244,62.91,20,7,3.8,YE,1624151715
beidao,34.5686,105.8933,68.2,44,100,1.1,CN,1624151716
berezovyy,51.6667,135.7,71.85,43,90,3.49,RU,1624151716
tiarei,-17.5333,-149.3333,82.42,82,99,13.85,PF,1624151716
segezha,63.7415,34.3222,58.8,64,99,7.25,RU,1624151717
biak,-0.9131,122.8766,81.39,68,100,4.99,ID,1624151717
monroe,43.1501,-77.6831,68.92,87,96,3.0,US,1624151621
saldanha,-33.0117,17.9442,64.81,50,0,9.01,ZA,1624151469
jackson,42.4165,-122.8345,93.15,30,1,12.66,US,1624151717
cap malheureux,-19.9842,57.6142,72.09,65,6,18.95,MU,1624151718
esperance,-33.8667,121.9,55.31,55,48,16.04,AU,1624151466
anse-bertrand,16.4721,-61.5078,78.62,84,55,18.37,GP,1624151718
sakakah,29.9697,40.2064,79.57,20,0,6.38,SA,1624151718
traverse city,44.7631,-85.6206,68.74,59,20,6.91,US,1624151719
hobyo,5.3505,48.5268,76.44,81,12,23.76,SO,1624151719
manama,26.2154,50.5832,93.38,48,0,11.5,BH,1624151719
saint anthony,45.0205,-93.218,78.94,40,1,1.99,US,1624151720
padang,-0.9492,100.3543,79.25,73,100,2.89,ID,1624151720
khasan,42.4308,130.6434,56.12,90,100,11.97,RU,1624151720
havoysund,70.9963,24.6622,47.28,90,100,2.1,NO,1624151720
jerome,42.7241,-114.5186,90.88,21,1,19.57,US,1624151721
nanortalik,60.1432,-45.2371,41.72,81,100,10.11,GL,1624151721
bac lieu,9.285,105.7244,84.33,72,59,12.24,VN,1624151721
tivaouane,14.9515,-16.8129,73.74,82,92,13.91,SN,1624151722
oktyabrskoye,43.0645,44.7417,59.14,94,0,2.24,RU,1624151722
zaragoza,41.6561,-0.8773,70.9,77,40,1.01,ES,1624151722
pak phanang,8.3511,100.202,81.48,74,100,5.17,TH,1624151723
ostersund,63.1792,14.6357,46.85,100,90,0.0,SE,1624151723
taltal,-25.4,-70.4833,60.24,72,100,3.44,CL,1624151723
ikom,5.9667,8.7063,72.91,99,97,1.07,NG,1624151724
atar,20.5169,-13.0499,82.22,17,0,10.33,MR,1624151724
safaga,26.7292,33.9365,82.15,38,0,16.42,EG,1624151724
san carlos de bariloche,-41.1456,-71.3082,28.15,80,0,4.61,AR,1624151724
kingaroy,-26.5333,151.8333,66.06,59,0,7.58,AU,1624151725
birao,10.2849,22.7882,74.16,74,100,3.58,CF,1624151725
yatou,37.15,122.3833,79.93,44,88,11.32,CN,1624151725
tilichiki,60.4667,166.1,48.88,62,100,2.86,RU,1624151726
grindavik,63.8424,-22.4338,42.91,75,75,17.27,IS,1624151726
qarayeri,40.7886,46.3066,72.48,60,40,4.61,AZ,1624151726
okato,-39.2,173.8833,54.43,96,100,5.86,NZ,1624151726
botou,38.0667,116.5667,87.69,19,81,8.37,CN,1624151727
aviles,43.5547,-5.9248,62.73,90,0,1.01,ES,1624151727
ceatalchioi,45.2886,28.7937,64.98,92,84,8.84,RO,1624151727
suez,29.9737,32.5263,67.51,65,0,4.99,EG,1624151728
shahreza,32.0339,51.8794,67.91,15,0,3.51,IR,1624151728
san quintin,30.4833,-115.95,66.88,78,4,14.74,MX,1624151728
santa maria del oro,25.9333,-105.3667,79.5,32,100,18.61,MX,1624151728
tautira,-17.7333,-149.15,82.42,82,100,16.44,PF,1624151729
najran,17.4924,44.1277,75.85,15,24,5.48,SA,1624151729
bilgoraj,50.5411,22.722,62.37,94,1,5.12,PL,1624151729
camacha,33.0833,-16.3333,63.82,68,20,12.66,PT,1624151730
road town,18.4167,-64.6167,81.19,83,100,20.49,VG,1624151720
